"","n","n_t","zeta","Q","scenario_id","rank","iteration_id","save_model","dsim_seed","model_seed","start_gamma","start_emiss"
"1",40,1600,0.5,0.1,"0086f95b1868678d6fb3ded960fa49ab",1,"d74d036ed346481eafe7267cbee1de9b",TRUE,5660741,3139634,"{
  ""tpm"": [0.6951, 0.1525, 0.1525, 0.1525, 0.6951, 0.1525, 0.1525, 0.1525, 0.6951]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.668, 0.9429, -5.8071, 1.0034, 4.303, 0.9327],
  ""EOG_median_theta"": [6.1398, 1.0049, 1.1226, 0.9958, -3.8211, 0.9729],
  ""EOG_min_beta"": [-5.9109, 1.0507, 4.0284, 0.9103, -1.3779, 0.9938]
}"
"2",40,1600,0.5,0.1,"0086f95b1868678d6fb3ded960fa49ab",11,"768f8820de593637ac7323df0bc82d1c",TRUE,6467679,1211412,"{
  ""tpm"": [0.5415, 0.2292, 0.2292, 0.2292, 0.5415, 0.2292, 0.2292, 0.2292, 0.5415]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.4863, 1.0291, -5.8464, 0.962, 4.1093, 0.9898],
  ""EOG_median_theta"": [6.1015, 0.9507, 1.1318, 1.0064, -3.8661, 0.9483],
  ""EOG_min_beta"": [-6.0647, 1.0882, 3.9886, 1.0788, -1.2781, 0.9704]
}"
"3",20,800,2,0.1,"0177a63090d8c08704972b99803513ce",24,"9bd48a6e0496002144450631e3dbefcb",TRUE,9941836,6368647,"{
  ""tpm"": [0.5789, 0.2105, 0.2105, 0.2105, 0.5789, 0.2105, 0.2105, 0.2105, 0.5789]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.3836, 2.4509, -5.8828, 2.4681, 4.3423, 2.5126],
  ""EOG_median_theta"": [5.9561, 2.5909, 1.2779, 2.5203, -4.1247, 2.5521],
  ""EOG_min_beta"": [-6.1437, 2.5817, 4.0309, 2.5143, -1.0684, 2.4567]
}"
"4",20,800,2,0.1,"0177a63090d8c08704972b99803513ce",30,"739f621449faf3ab83081f8b8797897a",TRUE,5452560,5125203,"{
  ""tpm"": [0.6013, 0.1994, 0.1994, 0.1994, 0.6013, 0.1994, 0.1994, 0.1994, 0.6013]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.636, 2.4147, -5.9335, 2.4099, 4.0451, 2.5782],
  ""EOG_median_theta"": [6.1259, 2.4408, 1.1912, 2.5417, -4.0017, 2.4795],
  ""EOG_min_beta"": [-5.8292, 2.4289, 4.1416, 2.5485, -1.3645, 2.4685]
}"
"5",20,1600,1,0.1,"0556c8090f8117ddbae3319dbab21fde",3,"140f7df1c7ca87f696d81a13a898de60",TRUE,2109863,2160460,"{
  ""tpm"": [0.7009, 0.1495, 0.1495, 0.1495, 0.7009, 0.1495, 0.1495, 0.1495, 0.7009]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.6036, 1.5124, -5.8069, 1.4741, 4.213, 1.4373],
  ""EOG_median_theta"": [6.1116, 1.4433, 1.0145, 1.5145, -4.0781, 1.5711],
  ""EOG_min_beta"": [-6.0525, 1.4075, 3.9938, 1.5326, -1.2561, 1.4122]
}"
"6",20,1600,1,0.1,"0556c8090f8117ddbae3319dbab21fde",7,"2f8ec6984c4e6c83b3364e32685019ce",TRUE,9567980,2691449,"{
  ""tpm"": [0.7981, 0.101, 0.101, 0.101, 0.7981, 0.101, 0.101, 0.101, 0.7981]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.4768, 1.5076, -6.1381, 1.5485, 4.0445, 1.5894],
  ""EOG_median_theta"": [6.1893, 1.5329, 1.2984, 1.5262, -4.1752, 1.4632],
  ""EOG_min_beta"": [-6.0095, 1.5595, 3.9255, 1.5589, -1.0744, 1.4129]
}"
"7",80,1600,2,0.4,"071cc66db6a2239a359e493b32677fae",7,"26c31bb41331e2f94056e35559cae0fe",TRUE,9378568,2394997,"{
  ""tpm"": [0.7021, 0.149, 0.149, 0.149, 0.7021, 0.149, 0.149, 0.149, 0.7021]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.5656, 2.5197, -5.9907, 2.5079, 4.0083, 2.5417],
  ""EOG_median_theta"": [6.1515, 2.4108, 1.1258, 2.4891, -4.0312, 2.4838],
  ""EOG_min_beta"": [-6.0646, 2.4931, 3.9823, 2.5295, -1.0055, 2.556]
}"
"8",80,1600,2,0.4,"071cc66db6a2239a359e493b32677fae",13,"213a1aeb9330306fdab710913d2a2151",TRUE,8441074,6018220,"{
  ""tpm"": [0.6257, 0.1871, 0.1871, 0.1871, 0.6257, 0.1871, 0.1871, 0.1871, 0.6257]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.6566, 2.4338, -5.9554, 2.5242, 4.3781, 2.536],
  ""EOG_median_theta"": [6.0208, 2.4153, 1.0641, 2.5099, -3.8998, 2.488],
  ""EOG_min_beta"": [-5.9258, 2.5969, 3.9214, 2.4039, -1.1342, 2.543]
}"
"9",40,400,1,0.4,"0a36b7ecc6f2a60f72c0739e5704c95c",10,"0566b1a31f8860f7ca09096fdfb7aea5",TRUE,6268186,3837903,"{
  ""tpm"": [0.5453, 0.2273, 0.2273, 0.2273, 0.5453, 0.2273, 0.2273, 0.2273, 0.5453]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.6562, 1.4509, -5.8506, 1.5693, 4.1994, 1.4608],
  ""EOG_median_theta"": [6.0233, 1.4725, 1.2146, 1.4036, -3.8963, 1.5373],
  ""EOG_min_beta"": [-6.013, 1.5273, 4.0796, 1.5686, -1.2772, 1.4733]
}"
"10",40,400,1,0.4,"0a36b7ecc6f2a60f72c0739e5704c95c",26,"a01c6ffc963a62f2c0f8285a4a176988",TRUE,3364664,9921689,"{
  ""tpm"": [0.5119, 0.244, 0.244, 0.244, 0.5119, 0.244, 0.244, 0.244, 0.5119]
}","{
  ""EEG_Fpz_Cz_mean_beta"": [-1.3446, 1.5374, -5.8765, 1.4165, 4.2523, 1.5608],
  ""EOG_median_theta"": [6.1564, 1.4356, 1.1523, 1.4988, -3.8327, 1.5997],
  ""EOG_min_beta"": [-6.0055, 1.5365, 4.0707, 1.4175, -1.3857, 1.4561]
}"
