"emiss_var_short","state","pbias","empirical_se","modSE","MSE","coverage","bias_corr_coverage","pbias1","empirical_se1","modSE1","MSE1","coverage1","bias_corr_coverage1","pbias2","empirical_se2","modSE2","MSE2","coverage2","bias_corr_coverage2","pbias3","empirical_se3","modSE3","MSE3","coverage3","bias_corr_coverage3","pbias4","empirical_se4","modSE4","MSE4","coverage4","bias_corr_coverage4"
"EEG_mean_beta","state1"," -0.01 (-0.13)","0.079 (0.004)","0.097 (0.001)","0.006 (0.001)","0.98 (0.01)","0.98 (0.01)"," -0.01 (-0.13)","0.080 (0.004)","0.097 (0.001)","0.006 (0.001)","0.99 (0.01)","0.99 (0.01)","-0.06 (-0.06)","0.037 (0.002)","0.052 (0.000)","0.001 (0.000)","0.99 (0.01)","0.99 (0.01)"," -0.06 (-0.09)","0.056 (0.002)","0.068 (0.000)","0.003 (0.000)","0.99 (0.01)","0.99 (0.01)"," 0.08 (-0.15)","0.053 (0.004)","0.069 (0.000)","0.003 (0.000)","1.00 (0.00)","1.00 (0.00)"
"EEG_mean_beta","state2","  8.11 (-0.47)","0.074 (0.003)","0.121 (0.000)","0.012 (0.001)","0.97 (0.01)","1.00 (0.00)","  8.04 (-0.47)","0.074 (0.003)","0.121 (0.000)","0.012 (0.001)","0.98 (0.01)","1.00 (0.00)"," 2.01 (-0.25)","0.040 (0.002)","0.056 (0.000)","0.002 (0.000)","0.99 (0.01)","0.99 (0.01)","  3.26 (-0.36)","0.057 (0.003)","0.078 (0.000)","0.004 (0.000)","0.99 (0.01)","0.99 (0.01)"," 2.60 (-0.55)","0.051 (0.004)","0.079 (0.000)","0.003 (0.000)","1.00 (0.00)","1.00 (0.00)"
"EEG_mean_beta","state3"," -6.72 ( 0.20)","0.077 (0.003)","0.186 (0.000)","0.032 (0.002)","1.00 (0.00)","1.00 (0.00)"," -6.74 ( 0.21)","0.078 (0.003)","0.186 (0.000)","0.032 (0.002)","1.00 (0.00)","1.00 (0.00)","-1.96 ( 0.12)","0.044 (0.002)","0.070 (0.000)","0.004 (0.000)","0.97 (0.01)","0.99 (0.01)"," -3.27 ( 0.14)","0.054 (0.002)","0.106 (0.000)","0.009 (0.001)","0.99 (0.01)","1.00 (0.00)","-3.34 ( 0.22)","0.049 (0.004)","0.106 (0.000)","0.009 (0.001)","1.00 (0.00)","1.00 (0.00)"
"EEG_mean_beta","state1"," 23.62 (1.45)","0.057 (0.003)","0.088 (0.001)","0.007 (0.001)","0.95 (0.01)","1.00 (0.00)"," 23.76 (1.45)","0.057 (0.003)","0.089 (0.001)","0.007 (0.001)","0.95 (0.01)","1.00 (0.00)"," 25.06 (0.76)","0.030 (0.001)","0.045 (0.000)","0.005 (0.000)","0.70 (0.03)","1.00 (0.00)"," 22.35 (1.04)","0.041 (0.002)","0.059 (0.000)","0.005 (0.000)","0.89 (0.02)","1.00 (0.00)"," 24.85 (1.77)","0.041 (0.003)","0.060 (0.001)","0.006 (0.001)","0.84 (0.04)","1.00 (0.00)"
"EEG_mean_beta","state2","103.78 (1.48)","0.059 (0.003)","0.133 (0.001)","0.071 (0.002)","0.02 (0.01)","1.00 (0.00)","104.40 (1.48)","0.059 (0.003)","0.134 (0.001)","0.072 (0.002)","0.01 (0.01)","1.00 (0.00)"," 49.27 (0.83)","0.033 (0.001)","0.052 (0.000)","0.016 (0.001)","0.04 (0.01)","1.00 (0.00)"," 66.27 (1.01)","0.040 (0.002)","0.076 (0.000)","0.029 (0.001)","0.03 (0.01)","1.00 (0.00)"," 67.90 (1.94)","0.045 (0.003)","0.077 (0.001)","0.031 (0.002)","0.04 (0.02)","0.99 (0.01)"
"EEG_mean_beta","state3","414.81 (1.68)","0.066 (0.003)","0.316 (0.001)","1.080 (0.009)","0.00 (0.00)","1.00 (0.00)","414.02 (1.66)","0.066 (0.003)","0.316 (0.001)","1.076 (0.009)","0.00 (0.00)","1.00 (0.00)","140.97 (0.80)","0.032 (0.001)","0.078 (0.000)","0.125 (0.001)","0.00 (0.00)","1.00 (0.00)","224.67 (1.01)","0.040 (0.002)","0.138 (0.000)","0.317 (0.003)","0.00 (0.00)","1.00 (0.00)","225.82 (1.65)","0.038 (0.003)","0.139 (0.001)","0.320 (0.005)","0.00 (0.00)","1.00 (0.00)"
"EOG_median_theta","state1"," -0.13 ( 0.16)","0.078 (0.003)","0.095 (0.001)","0.006 (0.001)","0.99 (0.01)","0.99 (0.01)"," -0.12 ( 0.16)","0.077 (0.003)","0.096 (0.001)","0.006 (0.001)","0.98 (0.01)","0.99 (0.01)"," 0.02 ( 0.09)","0.043 (0.002)","0.052 (0.000)","0.002 (0.000)","0.99 (0.01)","0.99 (0.01)","  0.01 ( 0.11)","0.052 (0.002)","0.069 (0.000)","0.003 (0.000)","0.99 (0.01)","0.99 (0.01)"," 0.01 ( 0.21)","0.058 (0.004)","0.069 (0.000)","0.003 (0.000)","0.99 (0.01)","0.99 (0.01)"
"EOG_median_theta","state2"," -4.72 (-0.15)","0.079 (0.004)","0.189 (0.000)","0.032 (0.002)","1.00 (0.00)","1.00 (0.00)"," -4.71 (-0.15)","0.079 (0.004)","0.189 (0.000)","0.032 (0.002)","1.00 (0.00)","1.00 (0.00)","-1.43 (-0.07)","0.040 (0.002)","0.071 (0.000)","0.004 (0.000)","0.99 (0.01)","1.00 (0.00)"," -2.36 (-0.11)","0.059 (0.003)","0.108 (0.000)","0.010 (0.001)","0.98 (0.01)","1.00 (0.00)","-2.33 (-0.18)","0.057 (0.004)","0.107 (0.000)","0.010 (0.001)","0.98 (0.02)","1.00 (0.00)"
"EOG_median_theta","state3","-16.31 (-0.87)","0.069 (0.003)","0.133 (0.000)","0.011 (0.001)","0.99 (0.01)","1.00 (0.00)","-16.36 (-0.89)","0.070 (0.003)","0.132 (0.000)","0.012 (0.001)","1.00 (0.00)","1.00 (0.00)","-4.38 (-0.52)","0.041 (0.002)","0.059 (0.000)","0.002 (0.000)","0.97 (0.01)","0.98 (0.01)","-10.91 (-0.69)","0.054 (0.002)","0.082 (0.000)","0.006 (0.000)","0.97 (0.01)","1.00 (0.00)","-7.64 (-1.22)","0.056 (0.004)","0.082 (0.000)","0.005 (0.001)","1.00 (0.00)","1.00 (0.00)"
"EOG_median_theta","state1"," 19.65 (1.45)","0.057 (0.003)","0.086 (0.001)","0.006 (0.001)","0.94 (0.02)","0.99 (0.01)"," 19.87 (1.46)","0.058 (0.003)","0.086 (0.001)","0.006 (0.001)","0.94 (0.02)","0.99 (0.01)"," 24.78 (0.76)","0.030 (0.001)","0.045 (0.000)","0.005 (0.000)","0.71 (0.03)","1.00 (0.00)"," 24.92 (1.04)","0.041 (0.002)","0.061 (0.000)","0.006 (0.000)","0.86 (0.02)","1.00 (0.00)"," 25.69 (1.93)","0.044 (0.003)","0.061 (0.001)","0.006 (0.001)","0.82 (0.04)","0.98 (0.02)"
"EOG_median_theta","state2","433.22 (1.79)","0.071 (0.003)","0.326 (0.001)","1.178 (0.010)","0.00 (0.00)","1.00 (0.00)","433.18 (1.75)","0.069 (0.003)","0.326 (0.001)","1.178 (0.010)","0.00 (0.00)","1.00 (0.00)","148.20 (0.76)","0.030 (0.001)","0.080 (0.000)","0.138 (0.001)","0.00 (0.00)","1.00 (0.00)","237.40 (1.10)","0.043 (0.002)","0.143 (0.000)","0.354 (0.003)","0.00 (0.00)","1.00 (0.00)","234.82 (1.78)","0.041 (0.003)","0.142 (0.001)","0.346 (0.005)","0.00 (0.00)","1.00 (0.00)"
"EOG_median_theta","state3","149.32 (1.46)","0.058 (0.003)","0.159 (0.001)","0.143 (0.003)","0.00 (0.00)","1.00 (0.00)","149.43 (1.45)","0.057 (0.003)","0.159 (0.001)","0.143 (0.003)","0.00 (0.00)","1.00 (0.00)"," 63.09 (0.76)","0.030 (0.001)","0.056 (0.000)","0.026 (0.001)","0.00 (0.00)","1.00 (0.00)"," 87.87 (1.09)","0.043 (0.002)","0.084 (0.000)","0.050 (0.001)","0.00 (0.00)","1.00 (0.00)"," 87.68 (1.92)","0.044 (0.003)","0.084 (0.001)","0.050 (0.002)","0.00 (0.00)","1.00 (0.00)"
"EOG_min_beta","state1","  1.66 ( 1.16)","0.073 (0.003)","0.095 (0.001)","0.005 (0.000)","0.99 (0.01)","1.00 (0.00)","  1.55 ( 1.16)","0.074 (0.003)","0.095 (0.001)","0.005 (0.000)","0.99 (0.01)","1.00 (0.00)"," 0.12 ( 0.69)","0.044 (0.002)","0.052 (0.000)","0.002 (0.000)","0.98 (0.01)","0.98 (0.01)","  0.44 ( 0.98)","0.062 (0.003)","0.068 (0.000)","0.004 (0.000)","0.96 (0.01)","0.96 (0.01)","-0.26 ( 1.44)","0.053 (0.004)","0.069 (0.000)","0.003 (0.000)","0.99 (0.01)","0.99 (0.01)"
"EOG_min_beta","state2"," -2.38 ( 0.14)","0.079 (0.004)","0.124 (0.000)","0.013 (0.001)","0.98 (0.01)","1.00 (0.00)"," -2.38 ( 0.14)","0.078 (0.004)","0.124 (0.000)","0.013 (0.001)","0.98 (0.01)","1.00 (0.00)","-0.79 ( 0.08)","0.042 (0.002)","0.057 (0.000)","0.003 (0.000)","0.98 (0.01)","1.00 (0.00)"," -1.12 ( 0.10)","0.056 (0.002)","0.079 (0.000)","0.005 (0.000)","0.98 (0.01)","0.99 (0.01)","-0.83 ( 0.17)","0.056 (0.004)","0.079 (0.000)","0.004 (0.001)","0.99 (0.01)","1.00 (0.00)"
